Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Stops,Total_Distance_km
97139,CSMT,CST-MUMBAI,KYN,KALYAN JN,24,53
97140,KYN,KALYAN JN,CLA,KURLA,15,37
97141,DR,DADAR,KYN,KALYAN JN,17,44
97142,KYN,KALYAN JN,CSMT,CST-MUMBAI,24,53
97143,DR,DADAR,KYN,KALYAN JN,17,44
97144,KYN,KALYAN JN,CSMT,CST-MUMBAI,24,53
97145,DR,DADAR,KYN,KALYAN JN,17,44
97146,KYN,KALYAN JN,CSMT,CST-MUMBAI,24,53
97147,CSMT,CST-MUMBAI,KYN,KALYAN JN,24,53
97148,KYN,KALYAN JN,CLA,KURLA,15,37
97149,CSMT,CST-MUMBAI,KYN,KALYAN JN,24,53
97150,KYN,KALYAN JN,TNA,THANE,8,20
97151,CSMT,CST-MUMBAI,KYN,KALYAN JN,24,53
97152,KYN,KALYAN JN,TNA,THANE,8,20
97153,CSMT,CST-MUMBAI,KYN,KALYAN JN,24,53
97155,DR,DADAR,KYN,KALYAN JN,17,44
97201,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97202,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97203,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97204,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97205,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97206,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97207,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97208,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97209,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97210,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97211,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97212,DI,DOMBIVLI,DR,DADAR,15,39
97213,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97214,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97215,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97216,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97217,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97218,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97219,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97220,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97221,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97222,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97223,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97224,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
97225,CSMT,CST-MUMBAI,DI,DOMBIVLI,22,48
97226,DI,DOMBIVLI,CSMT,CST-MUMBAI,22,48
